epoch,trainLoss,validationLoss,trainCorrect,validationCorrect
1,0.6931265458484303,0.7137212985063771,53,15
25,0.4845025388821562,0.4320425968593872,76,30
50,0.27682325136511343,0.1993364837524749,79,27
75,0.22726051318386536,0.19930047246119273,80,27
100,0.19958585194858816,0.22769761399961716,81,27
125,0.1798373108943565,0.2246686342586194,83,27
150,0.16271972457326414,0.2141576556398095,84,27
175,0.14123696230790966,0.20717661511641702,85,27
200,0.1280727385219697,0.21927001665918439,86,27
225,0.12014409098211562,0.22364147699531556,86,27
250,0.11142407174120418,0.2218906321709542,85,27
275,0.10106089946603362,0.22726004419770188,85,27
300,0.09197698892793939,0.2282105096136929,86,27
325,0.08385565384572981,0.21826627690602018,87,27
350,0.07608856380950615,0.2236510319768548,87,27
375,0.06943619019651583,0.2272196175288089,88,27
400,0.06391760715901763,0.23312819856795042,89,27
425,0.05927066802975789,0.24122201721214742,89,27
450,0.05530607131175756,0.25000842236102977,89,27
475,0.05190546807393207,0.2581424144416197,89,27
500,0.048977787358169114,0.2645966940108531,89,27
525,0.04643999127678097,0.2691038794460904,89,27
550,0.044228035917636854,0.27219402054097086,89,27
575,0.042295113458260016,0.27440885044349267,89,27
600,0.04060573637125693,0.2764497383538232,89,27
625,0.039130123597461805,0.2788381947694136,89,27
650,0.03784207720042622,0.2816315688007249,89,27
675,0.036718159043784074,0.2846943724201266,89,27
700,0.03573705410490022,0.2879006540322648,89,27
725,0.0348792864819979,0.29116789402307375,89,27
750,0.03412718992342075,0.29444626914003297,89,27
775,0.033464965818829406,0.2977097942536668,89,27
800,0.0328787092686641,0.30094992121779257,89,27
825,0.032356344269433644,0.30416915403334854,89,27
850,0.031887459223940436,0.3073744923576625,89,27
875,0.03146305901222325,0.31057080316293634,89,27
900,0.03107524863923695,0.3137537220781976,89,27
925,0.030716840185947846,0.3169013405399987,89,27
950,0.030380821659720607,0.3199638300532657,89,27
975,0.030059502326440002,0.32284944255316506,89,27
1000,0.029742808913219843,0.3254008408625118,89,27
1025,0.029414047765965904,0.3273384416169079,89,27
1050,0.029036193611369516,0.3280875216114508,89,27
1075,0.028487100806236114,0.3261877658339166,89,27
1100,0.027176287714477616,0.3195532686240937,89,27
