record_id,見つけやすい,迷わない,操作が分かる,形が好き,色が好き,魅力を感じる
0,-0.7405947650911212,-0.31017646519474457,-0.4391928582750828,-0.9682921382903398,-1.1924188980508552,-1.3791869844663758
1,-0.4723206973412175,0.07128802419440142,-0.1377274995631784,0.062056760169588776,-0.25473462071810443,0.33305033176886445
2,0.903606026196321,0.7971222894094406,0.6799250876313717,0.19810254910871344,0.3044264764398912,0.4135394721024062
3,-0.172435035328124,-0.05436331379071191,-0.10462605450164053,-0.8237651314745422,-0.7020831475143027,-0.3763709655499939
4,0.5652688991606338,0.9547784939814918,0.9278853564624596,1.1908686351745947,0.7630665936440465,1.5621273644230491
5,0.2517078668775047,0.34291659236165595,-0.2753687309437439,-0.5034484014603371,-0.7008690923261827,-0.9074560256135541
6,-0.9856344984742604,-0.5667466972896248,-0.7291416130031345,1.342475635563851,0.7923287592217292,1.5619966659217437
7,0.16874200685840188,0.015214941249289213,0.1745383043661904,-2.384297426055281,-1.1809201195572931,-1.327698615426585
8,-0.17655653614264435,-0.15885379619691115,-0.3989537968368654,-0.7517200926045762,-1.1825030163699548,-1.1305385005608315
9,-0.8681256449992302,-0.496667614277955,-0.17947884981622414,-0.6474738733903631,-0.9818988045979918,0.030267666309960806
10,-1.0147612927341982,-0.09712222128499537,-0.518322917084561,0.2536181604095299,0.14735745692190624,0.549018090039687
11,0.25450275351611945,-0.17877148299692047,0.2872668534823677,0.1999542404537451,-0.5507615244596165,-0.8149082050535223
12,-0.0003660780842527078,-0.0759215822985807,0.06286357076080304,0.4935470434290426,0.24106186316658268,0.7664632040926517
13,-2.3926896860057223,-1.8023713498536802,-0.44477822781961707,0.13217373623325115,-0.18670934906283163,-0.019670417821475467
14,-0.2628446099594428,-0.6144430346215343,-0.6593711687012841,-0.5863957586504274,-0.2623823015591516,-0.3780680568136099
15,-1.4076382182945308,-1.2794495846662657,-0.9182195253700682,-0.09677743227589428,0.19249911938173642,-0.4496802288427924
16,-0.09341173579966464,0.590081755820972,-0.012905950712605845,0.1456113516443846,0.15064344914996197,0.24779031144713393
