record_id,person,screen,time_sec
0,0,A,50.60610214851932
1,0,B,44.46033536277795
2,1,A,42.85651555835564
3,1,B,36.782564018706154
4,2,A,53.10143570929113
5,2,B,44.436592181079405
6,3,A,46.63635980163082
7,3,B,41.37044971758054
8,4,A,48.87696365356888
9,4,B,45.679396098058746
10,5,A,52.17869326663786
11,5,B,48.95189083912758
12,6,A,34.11236534182414
13,6,B,28.007970745810624
14,7,A,45.819469119589826
15,7,B,43.89689080012063
16,8,A,50.72339571710967
17,8,B,41.06373818472855
18,9,A,46.13214783827139
19,9,B,41.455767701080156
20,10,A,38.33354308939438
21,10,B,32.332011485348964
22,11,A,46.45993657079296
23,11,B,37.723069973357006
24,12,A,51.541127800147706
25,12,B,43.60514719989475
26,13,A,49.43901463940984
27,13,B,44.345649901421005
28,14,A,41.57688967583016
29,14,B,39.14225605855922
30,15,A,40.888752629143816
31,15,B,34.40869530449378
32,16,A,49.510540333934294
33,16,B,42.03422666541888
34,17,A,41.754010142806365
35,17,B,37.758356852603804
36,18,A,50.044345656935164
37,18,B,43.545490482245924
38,19,A,57.5477781091526
39,19,B,48.31940842382899
40,20,A,50.49535511965043
41,20,B,46.67650709517893
42,21,A,40.531035112043675
43,21,B,36.29724635944003
44,22,A,58.58179111961111
45,22,B,48.64429151973434
46,23,A,45.7313102832375
47,23,B,35.45266386974166
48,24,A,46.56323709399325
49,24,B,44.27184089990707
50,25,A,54.171400463550896
51,25,B,49.08867551579537
52,26,A,51.29569099728684
53,26,B,42.392582311228786
54,27,A,48.579415416017426
55,27,B,42.63269639127398
56,28,A,46.39087611793783
57,28,B,43.59596746816285
58,29,A,49.22718699155951
59,29,B,43.20110844458139
